Number,Frequency,Species,genus_species,timetree_species,taxon_id,manual_taxon_id,taxon_id_final,genus,domain,kingdom,phylum_division,class,time_to_common_ancestor_with_humans,num_swissprot_seqs,num_trembl_seqs,uniref100_count,uniref90_count,uniref50_count,time to ancestor Homo sapiens,time to ancestor Mus musculus,time to ancestor Arabidopsis thaliana,time to ancestor Rattus norvegicus,time to ancestor Saccharomyces cerevisiae,time to ancestor Bos taurus,time to ancestor Schizosaccharomyces pombe,time to ancestor Caenorhabditis elegans,time to ancestor Bacillus subtilis,time to ancestor Oryza sativa,time to ancestor Dictyostelium discoideum,time to ancestor Drosophila melanogaster,time to ancestor Danio rerio,time to ancestor Gallus gallus,time to ancestor Mycobacterium tuberculosis,time to ancestor Pongo abelii,time to ancestor Salmonella,time to ancestor Methanocaldococcus jannaschii,time to ancestor Xenopus tropicalis,time to ancestor Haemophilus influenzae,time to ancestor Escherichia coli,time to ancestor Sus scrofa,time to ancestor Macaca fascicularis,time to ancestor Candida albicans,time to ancestor Synechocystis,time to ancestor Archaeoglobus fulgidus,time to ancestor Emericella nidulans,time to ancestor Vibrio cholerae,time to ancestor Staphylococcus aureus,time to ancestor Ashbya,time to ancestor Kluyveromyces lactis,time to ancestor Acanthamoeba polyphaga,time to ancestor Oryctolagus cuniculus,time to ancestor Aspergillus fumigatus,time to ancestor Rhizobium meliloti,time to ancestor Neurospora crassa,time to ancestor Canis lupus,time to ancestor Zea mays,time to ancestor Toxoplasma gondii,time to ancestor Plasmodium falciparum,time to ancestor Anopheles gambiae,time to ancestor Monodelphis domestica,time to ancestor Gorilla gorilla,time to ancestor Chlamydomonas reinhardtii,time to ancestor Ambystoma mexicanum,time to ancestor Schmidtea mediterranea,time to ancestor Apis mellifera,time to ancestor Streptomyces coelicolor,time to ancestor Pectobacterium atrosepticum,time to ancestor Aquifex aeolicus,time to ancestor Pasteurella multocida,time to ancestor Shigella flexneri,time to ancestor Bacillus anthracis,time to ancestor Photorhabdus laumondii,time to ancestor Halalkalibacterium halodurans,time to ancestor Klebsiella pneumoniae,time to ancestor Enterobacter,time to ancestor Yersinia pestis,time to ancestor Nostoc,time to ancestor Pan troglodytes,time to ancestor Mycoplasma pneumoniae,time to ancestor Citrobacter koseri,time to ancestor Serratia proteamaculans,time to ancestor Yarrowia lipolytica,time to ancestor Sinorhizobium fredii,time to ancestor Agrobacterium,time to ancestor Shewanella oneidensis,time to ancestor Debaryomyces hansenii,time to ancestor Treponema pallidum,time to ancestor Cronobacter sakazakii,time to ancestor Methanothermobacter thermautotrophicus,time to ancestor Listeria monocytogenes,time to ancestor Pseudomonas aeruginosa,time to ancestor Helicobacter pylori,time to ancestor Ralstonia solanacearum,time to ancestor Photobacterium profundum,time to ancestor Neisseria meningitidis,time to ancestor Mycolicibacterium smegmatis,time to ancestor Rickettsia prowazekii,time to ancestor Brucella melitensis,time to ancestor Caulobacter vibrioides,time to ancestor Aliivibrio fischeri,time to ancestor Bacillus licheniformis,time to ancestor Thermotoga maritima,time to ancestor Clostridium acetobutylicum,time to ancestor Xanthomonas campestris,time to ancestor Oceanobacillus iheyensis,time to ancestor Lactococcus lactis,time to ancestor Corynebacterium glutamicum,time to ancestor Erwinia tasmaniensis,time to ancestor Sodalis glossinidius,time to ancestor Xylella fastidiosa,time to ancestor Deinococcus radiodurans,time to ancestor Chromobacterium violaceum,time to ancestor Methanosarcina acetivorans,time to ancestor Bordetella pertussis,time to ancestor Geobacillus kaustophilus,time to ancestor Acinetobacter baylyi,time to ancestor Pyrococcus furiosus,time to ancestor Solanum lycopersicum,time to ancestor Nicotiana tabacum,time to ancestor Proteus mirabilis,time to ancestor Alkalihalobacillus clausii,time to ancestor Thermosynechococcus vestitus,time to ancestor Pyrococcus horikoshii,time to ancestor Synechococcus elongatus,time to ancestor Halobacterium salinarum,time to ancestor Saccharolobus solfataricus,time to ancestor Lactiplantibacillus plantarum,time to ancestor Cupriavidus necator,time to ancestor Campylobacter jejuni,time to ancestor Rhodopseudomonas palustris,time to ancestor Cereibacter sphaeroides,time to ancestor Enterococcus faecalis,time to ancestor Aeromonas hydrophila,time to ancestor Trichormus variabilis,time to ancestor Burkholderia mallei,time to ancestor Ovis aries,time to ancestor Methylococcus capsulatus,time to ancestor Caldanaerobacter subterraneus,time to ancestor Phytophthora infestans,time to ancestor Emiliania huxleyi,time to ancestor Paramecium tetraurelia,time to ancestor Entamoeba histolytica,time to ancestor Trichoplax adhaerens,time to ancestor Hydra vulgaris,time to ancestor Nematostella vectensis,time to ancestor Branchiostoma floridae,time to ancestor Petromyzon marinus,time to ancestor Takifugu rubripes,time to ancestor Anas platyrhynchos,time to ancestor Notamacropus eugenii,time to ancestor Felis catus,time to ancestor Aedes aegypti,time to ancestor Culex quinquefasciatus,time to ancestor Lottia gigantea,time to ancestor Brugia malayi,,UniRef90_all_counts,UniRef50_90_all_counts
1,20423,Homo sapiens (Human),Homo sapiens,Homo sapiens,9606,,9606,Homo,Eukaryota,Animalia,Chordata,Mammalia,0 MYA,20429,187603,235758,105747,53703,0,87,1530,87,1275,94,1275,686,3618,1530,1530,686,429,319,3618,15.2,3618,3618,352,3618,3618,94,28.8,1275,3618,3618,1275,3618,3618,1275,1275,1530,87,1275,3618,1275,94,1530,1530,1530,686,160,8.6,1530,352,686,686,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,6.4,3618,3618,3618,1275,3618,3618,3618,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,94,3618,3618,1530,1530,1530,1530,661,685,685,581,563,429,319,160,94,686,686,686,686,,69733.6322,27002.29756
2,17167,Mus musculus (Mouse),Mus musculus,Mus musculus,10090,,10090,Mus,Eukaryota,Animalia,Chordata,Mammalia,87 MYA,17193,71281,104154,54259,28425,87,0,1530,13.1,1275,94,1275,686,3618,1530,1530,686,429,319,3618,87,3618,3618,352,3618,3618,94,87,1275,3618,3618,1275,3618,3618,1275,1275,1530,79,1275,3618,1275,94,1530,1530,1530,686,160,87,1530,352,686,686,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,87,3618,3618,3618,1275,3618,3618,3618,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,94,3618,3618,1530,1530,1530,1530,661,685,685,581,563,429,319,160,94,686,686,686,686,,36510.4759,18743.87557
3,16353,Arabidopsis thaliana (Mouse-ear cress),Arabidopsis thaliana,Arabidopsis thaliana,3702,,3702,Arabidopsis,Eukaryota,Plantae,,,1530 MYA,16378,179483,105531,47219,30254,1530,1530,0,1530,1530,1530,1530,1530,3618,160,1351,1530,1530,1530,3618,1530,3618,3618,1530,3618,3618,1530,1530,1530,3618,3618,1530,3618,3618,1530,1530,1351,1530,1530,3618,1530,1530,160,1278,1278,1530,1530,1530,936,1530,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,3618,3618,3618,1530,3618,3618,3618,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,118,118,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,3618,3618,1278,1278,1278,1351,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,,43061.74693,24025.80522
4,8182,Rattus norvegicus (Rat),Rattus norvegicus,Rattus norvegicus,10116,,10116,Rattus,Eukaryota,Animalia,Chordata,Mammalia,87 MYA,8184,84935,94555,44357,19892,87,13.1,1530,0,1275,94,1275,686,3618,1530,1530,686,429,319,3618,87,3618,3618,352,3618,3618,94,87,1275,3618,3618,1275,3618,3618,1275,1275,1530,79,1275,3618,1275,94,1530,1530,1530,686,160,87,1530,352,686,686,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,87,3618,3618,3618,1275,3618,3618,3618,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,94,3618,3618,1530,1530,1530,1530,661,685,685,581,563,429,319,160,94,686,686,686,686,,36079.32642,17415.29547
5,6727,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae,Saccharomyces cerevisiae,4932,,4932,Saccharomyces,Eukaryota,Fungi,Ascomycota,Saccharomycetes,1275 MYA,7964,65937,25613,9226,8222,1275,1275,1530,1275,0,1275,543,1275,3618,1530,1530,1275,1275,1275,3618,1275,3618,3618,1275,3618,3618,1275,1275,235,3618,3618,534,3618,3618,114,114,1530,1275,534,3618,534,1275,1530,1530,1530,1275,1275,1275,1530,1275,1275,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1275,3618,3618,3618,334,3618,3618,3618,235,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1275,3618,3618,1530,1530,1530,1530,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,,9712.266573,7496.448915
6,6036,Bos taurus (Bovine),Bos taurus,Bos taurus,9913,,9913,Bos,Eukaryota,Animalia,Chordata,Mammalia,94 MYA,6080,111213,60996,25584,7483,94,94,1530,94,1275,0,1275,686,3618,1530,1530,686,429,319,3618,94,3618,3618,352,3618,3618,62,94,1275,3618,3618,1275,3618,3618,1275,1275,1530,94,1275,3618,1275,76,1530,1530,1530,686,160,94,1530,352,686,686,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,94,3618,3618,3618,1275,3618,3618,3618,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,24.6,3618,3618,1530,1530,1530,1530,661,685,685,581,563,429,319,160,76,686,686,686,686,,28428.95157,6749.620078
7,5121,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),Schizosaccharomyces pombe,Schizosaccharomyces pombe,4896,,4896,Schizosaccharomyces,Eukaryota,Fungi,Ascomycota,Schizosaccharomycetes,1275 MYA,5148,262,5559,5221,4875,1275,1275,1530,1275,543,1275,0,1275,3618,1530,1530,1275,1275,1275,3618,1275,3618,3618,1275,3618,3618,1275,1275,543,3618,3618,543,3618,3618,543,543,1530,1275,543,3618,543,1275,1530,1530,1530,1275,1275,1275,1530,1275,1275,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1275,3618,3618,3618,543,3618,3618,3618,543,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1275,3618,3618,1530,1530,1530,1530,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,,5052.33186,4762.865193
9,4451,Caenorhabditis elegans,Caenorhabditis elegans,Caenorhabditis elegans,6239,,6239,Caenorhabditis,Eukaryota,Animalia,Nematoda,Chromadorea,686 MYA,4518,32935,25440,20060,12558,686,686,1530,686,1275,686,1275,0,3618,1530,1530,727,686,686,3618,686,3618,3618,686,3618,3618,686,686,1275,3618,3618,1275,3618,3618,1275,1275,1530,686,1275,3618,1275,686,1530,1530,1530,727,686,686,1530,686,610,727,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,686,3618,3618,3618,1275,3618,3618,3618,1275,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,686,3618,3618,1530,1530,1530,1530,661,685,685,686,686,686,686,686,686,727,727,610,391,,18171.00616,11014.39346
10,4191,Bacillus subtilis (strain 168),Bacillus subtilis,Bacillus subtilis,1423,,1423,Bacillus,Bacteria,,Bacillota,Bacilli,3618 MYA,6542,252243,243378,24247,12568,3618,3618,3618,3618,3618,3618,3618,3618,0,3618,3618,3618,3618,3618,2908,3618,3134,3618,3618,3134,3134,3618,3618,3618,2936,3618,3618,3134,1429,3618,3618,3618,3618,3618,3134,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,2908,3134,4101,3134,3134,790,3134,1382,3134,3134,3134,2936,3618,2233,3134,3134,3618,3134,3134,3134,3618,3134,3134,3618,1294,3134,3134,3134,3134,3134,2908,3134,3134,3134,3134,460,4180,2607,3134,1382,1810,2908,3134,3134,3134,2908,3134,3618,3134,1324,3134,3618,3618,3618,3134,1382,2936,3618,2936,3618,3618,1810,3134,3134,3134,3134,1810,3134,2936,3134,3618,3134,2607,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,,18909.65081,9143.376891
11,4186,Oryza sativa subsp. japonica (Rice),Oryza sativa,Oryza sativa,4530,39947,39947,Oryza,Eukaryota,Plantae,,,1530 MYA,5222,238125,109923,66544,43594,1530,1530,160,1530,1530,1530,1530,1530,3618,0,1351,1530,1530,1530,3618,1530,3618,3618,1530,3618,3618,1530,1530,1530,3618,3618,1530,3618,3618,1530,1530,1351,1530,1530,3618,1530,1530,49,1278,1278,1530,1530,1530,936,1530,1530,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,3618,3618,3618,1530,3618,3618,3618,1530,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,160,160,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,3618,1530,3618,3618,1278,1278,1278,1351,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,1530,,81529.05204,52186.47015
